id,hi_int_prncp_pd,acc_now_delinq,acc_open_past_24mths,addr_state,annual_inc,application_type,avg_cur_bal,bc_util,delinq_2yrs,delinq_amnt,dti,earliest_cr_line,emp_length,emp_title,grade,home_ownership,initial_list_status,int_rate,last_credit_pull_d,loan_amnt,mort_acc,num_sats,num_tl_120dpd_2m,num_tl_90g_dpd_24m,num_tl_30dpd,out_prncp_inv,pub_rec,pub_rec_bankruptcies,purpose,sub_grade,term,tot_coll_amt,tot_cur_bal,total_rec_late_fee,verification_status
3829,0,0,0,CA,388000,Individual,81380,88.4,1,0,9.36,1990,8,Administrator,C,MORTGAGE,w,12.29,2018,35000,2,5,0,0,0,0,0,0,credit_card,C1,60,0,406900,0,1
3830,0,0,8,CA,93475,Individual,13963,54.4,0,0,27.37,1999,2,Administrator,E,MORTGAGE,f,19.99,2017,30000,1,33,0,0,0,0,0,0,debt_consolidation,E3,36,0,446816,0,1
3831,0,0,14,NY,148000,Individual,13132,2.8,0,0,20.07,2005,10,Administrator,D,MORTGAGE,w,17.09,2018,32000,2,28,0,0,0,0,0,0,other,D1,60,0,367704,0,1
3832,0,0,10,NY,93000,Individual,8937,65.5,0,0,22.09,2003,6,Administrator,C,MORTGAGE,f,16.02,2019,10000,4,16,0,0,0,0,0,0,debt_consolidation,C5,36,0,142989,0,1
3833,0,0,5,TX,78000,Individual,23301,34.2,1,0,16.2,2003,2,Administrator,B,MORTGAGE,w,8.99,2018,20000,4,11,0,1,0,0,0,0,debt_consolidation,B1,60,0,256308,0,0
3834,0,0,7,PA,117150,Individual,14250,22.2,1,0,13.78,1993,10,Administrator,B,MORTGAGE,w,8.99,2019,20000,5,12,0,1,0,0,0,0,debt_consolidation,B1,36,0,171000,0,1
3835,0,0,4,GA,42000,Individual,1372,44.6,0,0,15.11,1989,10,Administrator,B,OWN,w,10.47,2019,15000,0,11,0,0,0,13186.35,0,0,other,B2,36,0,13722,0,0
3836,0,0,4,MI,90000,Individual,9833,55.8,0,0,21.12,1991,4,Administrator,C,MORTGAGE,w,12.74,2019,16000,3,19,0,0,0,0,0,0,home_improvement,C1,60,0,186831,0,0
3837,0,0,4,NJ,81500,Individual,5126,48.8,0,0,39.22,1989,10,Administrator,B,RENT,w,11.99,2019,10100,0,21,0,0,0,0,0,0,debt_consolidation,B5,60,0,107643,15,1
3838,0,0,8,NJ,52000,Individual,1384,72.1,1,0,18.35,1974,8,Administrator,F,RENT,w,23.13,2019,19750,0,19,0,0,0,0,0,0,debt_consolidation,F1,60,0,20758,0,0
3839,0,0,1,NC,35000,Individual,13566,69.1,1,0,13.92,1999,10,OWNER,B,MORTGAGE,f,11.49,2018,7000,2,7,0,0,0,0,4,0,debt_consolidation,B5,36,304,94962,0,1
3840,0,0,5,CA,48000,Individual,12790,48.2,1,0,19.96,1999,10,OWNER,B,MORTGAGE,w,10.49,2019,10000,3,16,0,0,0,0,1,0,debt_consolidation,B2,36,7510,191853,0,1
3841,0,0,4,CA,168000,Individual,10603,85.2,0,0,6.22,2000,8,OWNER,C,MORTGAGE,w,14.49,2016,12000,1,20,0,0,0,0,0,0,debt_consolidation,C4,60,0,190861,0,1
3842,0,0,3,OH,105237,Individual,3062,85.3,1,0,16.66,1990,NA,OWNER,C,MORTGAGE,w,14.65,2019,3000,0,15,0,0,0,0,0,0,credit_card,C5,36,76,45933,0,1
3843,0,0,3,NY,86000,Individual,985,84.1,0,0,3.7,2004,3,OWNER,B,RENT,w,10.42,2019,10000,0,8,0,0,0,5936.8,0,0,credit_card,B3,36,0,6895,0,1
3844,0,0,4,TX,105000,Individual,14489,79.3,0,0,31.67,2010,10,OWNER,B,OWN,w,9.17,2019,35000,0,10,0,0,0,0,0,0,credit_card,B2,36,0,130403,0,1
3845,0,0,2,NC,200000,Individual,5286,13.4,0,0,2.67,2004,1,Director,A,RENT,w,6.03,2015,10000,0,12,0,0,0,0,0,0,major_purchase,A1,36,0,47573,0,1
3846,0,0,3,CT,150000,Individual,43903,66.1,1,0,20.51,1987,10,Director,B,OWN,w,9.99,2019,35000,2,8,0,0,0,0,0,0,credit_card,B3,36,0,351221,0,1
3847,0,0,15,CT,183000,Individual,18534,74.8,0,0,10.81,1987,10,Director,F,MORTGAGE,f,25.57,2019,35000,4,30,0,0,0,0,0,0,credit_card,F5,60,0,518957,0,1
3848,0,0,3,MO,45000,Individual,5263,64.4,0,0,19.87,2003,7,Director,B,OWN,w,10.99,2019,7000,0,4,0,0,0,0,0,0,debt_consolidation,B4,36,0,21050,0,1
3849,0,0,8,CO,160000,Individual,37932,91.2,1,0,12.32,2001,10,Director,B,MORTGAGE,w,11.53,2018,21000,2,12,0,0,0,0,0,0,debt_consolidation,B5,36,0,455179,0,1
3850,0,0,10,FL,220000,Individual,35115,40.7,0,0,28.88,1992,7,Director,A,MORTGAGE,w,6.07,2019,25000,2,22,0,0,0,18504.6,0,0,home_improvement,A2,36,0,667187,0,1
3851,0,0,8,FL,95292,Individual,3870,97.5,0,0,20.35,2006,10,Director,G,RENT,w,30.94,2019,27900,0,15,0,0,0,23405.17,0,0,debt_consolidation,G4,60,0,58044,0,1
3852,0,0,2,FL,219500,Individual,37378,32.7,0,0,12.21,1993,10,Director,A,MORTGAGE,w,6.11,2019,25000,6,14,0,0,0,21794.99,0,0,debt_consolidation,A1,36,0,523291,0,1
3853,0,0,5,IL,165000,Individual,28748,81.1,0,0,16.79,1987,1,Director,A,MORTGAGE,w,7.97,2019,6000,5,17,0,0,0,3508.79,0,0,other,A5,36,0,459965,0,0
3854,0,0,2,IL,230000,Individual,66560,76.9,0,0,7.58,2001,10,Director,B,OWN,f,11.49,2019,3600,4,6,0,0,0,0,0,0,major_purchase,B5,36,0,399359,0,1
3855,0,0,3,CA,175000,Individual,7220,92.4,0,0,22.45,2003,2,Director,B,RENT,w,11.55,2019,35000,1,17,0,0,0,31679.95,0,0,credit_card,B4,36,0,108296,0,1
3856,0,0,2,CA,74000,Individual,38059,66.6,0,0,10.07,2000,6,Director,B,MORTGAGE,w,10.49,2019,25000,1,8,0,0,0,10661.83,0,0,debt_consolidation,B2,36,0,304472,0,0
3857,0,0,5,CA,140000,Individual,9748,73,0,0,21.92,2005,5,Director,D,MORTGAGE,w,17.99,2019,30000,3,23,0,0,0,0,1,0,debt_consolidation,D2,60,0,224211,0,1
3858,0,0,4,CA,72000,Individual,3254,76.1,0,0,18.67,2007,2,Director,D,MORTGAGE,w,21.45,2019,20000,1,11,0,0,0,16541.14,1,1,debt_consolidation,D5,60,299,35797,0,1
3859,0,0,3,CA,65000,Individual,20580,36,0,0,6.51,1986,10,Director,A,MORTGAGE,w,6.83,2019,14000,2,12,0,0,0,0,0,0,debt_consolidation,A3,36,0,246964,0,0
3860,0,0,10,CA,104000,Individual,12639,0,0,0,29.19,2003,3,Director,C,RENT,w,13.44,2019,35000,1,8,0,0,0,0,0,0,debt_consolidation,C3,60,0,88472,0,1
3861,0,1,1,CA,125000,Individual,81906,38.6,2,0,8.62,1999,10,Director,C,MORTGAGE,w,12.74,2019,30000,3,6,1,1,0,0,0,0,debt_consolidation,C1,36,0,491438,0,1
3862,0,0,1,CA,110000,Individual,58834,123.3,0,0,15.38,1995,7,Director,C,MORTGAGE,f,13.99,2019,10400,1,12,0,0,0,0,2,0,debt_consolidation,C4,36,0,706003,0,1
3863,0,0,1,CA,113500,Individual,9217,94.4,0,0,9.81,2001,10,Director,C,MORTGAGE,f,13.98,2016,25000,3,3,0,0,0,0,0,0,credit_card,C1,36,0,27651,0,1
3864,0,0,8,OH,69000,Individual,9184,79.2,0,0,21.91,1996,1,Director,D,MORTGAGE,w,15.61,2017,25000,1,19,0,0,0,0,0,0,credit_card,D1,60,0,165308,0,1
3865,0,0,6,OH,106000,Individual,1743,43.4,0,0,8.62,2004,5,Director,B,RENT,w,10.08,2019,11000,0,14,0,0,0,9934.83,0,0,debt_consolidation,B1,36,0,22656,0,1
3866,0,0,4,OH,213400,Individual,46526,75.3,0,0,12.31,1993,5,Director,A,MORTGAGE,f,7.97,2019,32000,1,10,0,0,0,15166.55,2,1,debt_consolidation,A5,36,114,465260,0,0
3867,0,0,4,NY,174000,Individual,30064,89.5,1,0,8.01,1994,10,Director,C,MORTGAGE,w,15.31,2018,5000,2,16,0,0,0,0,0,0,debt_consolidation,C5,36,0,481031,0,1
3868,0,0,5,NY,87500,Individual,3299,76.3,0,0,12.74,1978,1,Director,B,RENT,w,12.99,2019,14000,0,17,0,0,0,0,0,0,credit_card,B4,36,0,46181,0,1
3869,0,0,1,NY,95000,Individual,13724,77.3,2,0,13.69,2004,10,Director,C,MORTGAGE,w,15.99,2017,15400,1,9,0,0,0,0,1,0,debt_consolidation,C5,60,0,123516,0,0
3870,0,0,1,NY,152844,Individual,36172,41.8,0,0,21.56,1983,8,Director,C,MORTGAGE,f,13.98,2019,19925,5,17,0,0,0,0,0,0,debt_consolidation,C1,36,0,578748,0,1
3871,0,0,3,NY,80000,Individual,8487,41.4,1,0,20.7,1998,10,Director,C,RENT,f,12.74,2019,15000,0,8,0,0,0,4300.08,0,0,debt_consolidation,C1,36,581,67893,0,0
3872,0,0,4,NY,83000,Individual,5759,98.2,0,0,21.86,2007,1,Director,C,RENT,f,13.49,2019,10000,0,13,0,0,0,0,0,0,credit_card,C2,36,0,69107,0,1
3873,0,0,1,TX,350000,Individual,34893,58.3,0,0,15.78,2004,5,Director,B,MORTGAGE,w,9.92,2019,27625,2,15,0,0,0,20753.4,0,0,credit_card,B2,36,0,523402,0,1
3874,0,0,6,TX,54000,Individual,147,11.5,0,0,3.11,2007,3,Director,B,OWN,w,10.91,2019,6000,0,7,0,0,0,4369.28,0,0,other,B4,36,16884,1031,0,1
3875,0,0,24,TX,81000,Individual,2902,31.4,0,0,25.28,2006,5,Director,D,OWN,w,18.45,2019,12000,2,25,0,0,0,11364.92,0,0,other,D2,60,165,72545,0,1
3876,0,0,7,TX,210000,Individual,21238,98.2,0,0,24.86,1986,10,Director,G,MORTGAGE,w,25.83,2019,35000,3,23,0,0,0,0,0,0,debt_consolidation,G2,60,0,467232,0,1
3877,0,0,5,TX,57924,Joint App,26301,101.4,0,0,52.08,1992,10,Director,C,MORTGAGE,w,16.01,2019,19200,4,10,0,0,0,17197.85,0,0,other,C5,60,0,263013,0,1
3878,0,0,9,TN,130000,Individual,17019,86.7,1,0,26.07,2004,10,Director,B,MORTGAGE,w,9.99,2019,18000,3,21,0,0,0,0,0,0,credit_card,B3,36,0,357400,58.08,0
3879,0,0,6,PA,110000,Individual,6158,72.7,0,0,17.42,1996,9,Director,D,RENT,w,15.41,2018,25000,0,21,0,0,0,0,0,0,debt_consolidation,D1,60,0,123166,0,1
3880,0,0,6,GA,105000,Individual,23506,95.2,1,0,26.1,1989,10,Director,C,MORTGAGE,w,16.02,2019,22800,3,14,0,0,0,0,0,0,debt_consolidation,C5,60,0,329085,0,1
3881,0,0,9,GA,91000,Individual,4858,29.7,0,0,28.06,2004,6,Director,B,MORTGAGE,f,9.49,2019,15400,1,19,0,0,0,0,0,0,credit_card,B2,36,0,92305,0,0
3882,0,0,1,VA,140000,Individual,3805,83.3,1,0,9.68,1987,9,Director,B,RENT,w,12.99,2019,25000,3,5,0,0,0,0,0,0,debt_consolidation,B5,36,0,19023,0,1
3883,0,0,5,NJ,220000,Individual,37089,74.2,0,0,13.9,1991,10,Director,B,OWN,w,11.99,2019,8000,1,15,0,0,0,5010.23,0,0,debt_consolidation,B5,36,0,556337,0,0
3884,0,0,3,NJ,166000,Individual,7269,92.3,0,0,17.9,2008,9,Director,B,RENT,w,10.9,2019,32500,0,15,0,0,0,25338.35,0,0,debt_consolidation,B4,36,0,94491,0,1
3885,0,0,3,WI,265000,Individual,52901,61.3,1,0,13.57,1991,8,Director,A,MORTGAGE,w,6.46,2019,25000,4,16,0,0,0,23734.23,0,0,debt_consolidation,A1,36,0,846415,0,1
3886,0,0,4,MD,115000,Individual,38579,27.8,0,0,8.98,2001,2,Director,B,MORTGAGE,w,11.67,2019,35000,3,9,0,0,0,0,0,0,debt_consolidation,B4,60,0,308631,0,1
3887,0,0,3,MD,125000,Individual,69029,87.2,2,0,5.14,2005,3,Director,C,MORTGAGE,w,14.49,2019,16000,4,10,0,2,0,0,0,0,debt_consolidation,C4,60,0,690285,0,0
3888,0,0,4,AZ,75000,Individual,75060,14,0,0,0.8,1995,10,Director,B,MORTGAGE,w,10.41,2019,10000,1,4,0,0,0,7526.36,2,1,house,B3,36,0,300241,0,1
3889,0,0,4,AZ,120000,Individual,7356,32.4,0,0,13.34,2009,4,Director,B,RENT,w,11.99,2019,25000,0,8,0,0,0,0,0,0,credit_card,B5,36,181,58848,0,1
3890,0,0,10,MA,267000,Individual,7537,83.5,1,0,21.88,1991,3,Director,C,MORTGAGE,w,13.33,2018,11900,0,25,0,0,0,0,1,0,medical,C3,60,0,180897,0,1
3891,0,0,2,MA,185000,Individual,5756,89.1,1,0,13.69,1987,5,Director,B,RENT,f,10.91,2019,16000,4,11,0,1,0,7304.65,0,0,debt_consolidation,B4,36,1184,63315,0,1
3892,0,0,14,MS,85000,Individual,5841,54.4,0,0,20.5,2001,4,Director,A,RENT,w,6.83,2019,2500,0,12,0,0,0,1922.03,0,0,credit_card,A3,36,0,70096,0,0
3893,0,0,1,WA,110000,Individual,9840,90.5,1,0,17.34,1994,1,Director,B,RENT,w,9.99,2017,25000,1,7,0,0,0,0,0,0,credit_card,B3,60,0,68882,0,0
3894,0,0,2,WA,82000,Individual,5561,101.2,0,0,29.98,1993,1,Director,C,RENT,w,13.44,2019,20000,0,13,0,0,0,0,0,0,debt_consolidation,C3,36,0,66728,0,1
3895,0,0,2,SC,125000,Individual,19157,0,1,0,16.82,2000,5,Director,B,MORTGAGE,w,10.42,2019,10000,2,12,0,0,0,4830.09,0,0,debt_consolidation,B3,36,957,210732,0,0
3896,0,0,2,RI,99779,Individual,6023,83.4,0,0,12.1,2003,1,Director,B,RENT,w,11.39,2019,4800,1,5,0,0,0,1924.02,0,0,vacation,B3,36,0,30114,0,1
3897,0,0,6,NC,90000,Individual,5162,0,3,0,12.09,2006,10,Truck driver,D,MORTGAGE,w,21.85,2019,2200,0,8,0,0,0,0,0,0,home_improvement,D5,36,0,41299,0,1
3898,0,0,6,FL,65000,Individual,6533,25.7,2,0,15.93,2010,4,Truck driver,B,MORTGAGE,w,12.73,2018,3500,0,9,0,0,0,0,1,1,credit_card,B5,36,0,58793,0,0
3899,0,0,6,FL,68000,Individual,24813,58.5,0,0,7.75,2006,3,Truck driver,C,MORTGAGE,w,12.99,2018,11000,2,6,0,0,0,0,0,0,car,C2,36,931,148878,0,0
3900,0,0,2,IL,65000,Individual,17712,75.4,0,0,7.05,2003,10,Truck driver,B,MORTGAGE,w,11.47,2017,20000,2,8,0,0,0,0,0,0,credit_card,B5,36,0,123984,0,0
3901,0,0,4,IL,79000,Individual,2021,37.8,2,0,7.41,2003,10,Truck driver,B,OWN,f,11.99,2019,7000,1,8,0,0,0,4755.71,0,0,debt_consolidation,B5,36,0,16170,0,0
3902,0,0,3,CA,85000,Individual,8321,72.3,0,0,8.01,2001,2,Truck driver,C,RENT,w,13.67,2019,5000,0,4,0,0,0,0,0,0,moving,C3,36,0,33282,0,1
3903,0,0,4,CA,30000,Individual,5214,85.9,0,0,17.52,1983,1,Truck driver,C,RENT,w,13.67,2017,13800,0,5,0,0,0,0,0,0,debt_consolidation,C3,36,0,20857,0,1
3904,0,0,4,CA,62000,Individual,4254,102.7,0,0,26.75,2002,2,Truck driver,C,RENT,f,13.33,2018,15000,0,10,0,0,0,0,0,0,credit_card,C3,36,0,42535,0,1
3905,0,0,1,OH,40000,Individual,1873,81.2,0,0,5.43,1994,5,Truck driver,C,OWN,w,12.99,2019,10000,0,3,0,0,0,988.84,2,1,debt_consolidation,C2,36,0,5619,0,1
3906,0,0,6,OH,70000,Individual,11747,67.2,0,0,6.81,1998,1,Truck driver,B,MORTGAGE,w,9.75,2018,16000,1,8,0,0,0,0,1,1,debt_consolidation,B3,36,0,93973,0,1
3907,0,0,23,NY,67400,Individual,140,10.4,0,0,6.11,1999,1,Truck driver,C,RENT,w,13.33,2018,7000,0,30,0,0,0,0,0,0,home_improvement,C3,36,473,4209,0,1
3908,0,0,10,PA,60000,Individual,5508,32.6,0,0,27.06,2000,1,Truck driver,E,RENT,w,20.99,2016,25200,0,9,0,0,0,0,0,0,debt_consolidation,E5,60,0,49574,34.08,1
3909,0,0,5,UT,50000,Individual,154,1.8,0,0,3.07,1999,1,Truck driver,B,RENT,w,10.91,2019,1000,2,6,0,0,0,0,1,1,car,B4,36,366,772,0,0
3910,0,0,4,NJ,100000,Individual,57797,95.4,1,0,19.85,2006,10,Truck driver,C,MORTGAGE,w,15.31,2017,24000,3,7,0,0,0,0,0,0,credit_card,C5,60,54,404576,0,1
3911,0,0,3,NJ,85000,Individual,8560,30.7,0,0,5.89,1997,10,Truck driver,A,OWN,w,5.32,2019,12000,2,13,0,0,0,0,0,0,debt_consolidation,A1,36,873,111278,0,0
3912,0,0,3,AZ,67000,Individual,21907,18.7,0,0,12.84,2009,10,Truck driver,B,MORTGAGE,w,9.93,2019,5000,1,6,0,0,0,3495.07,0,0,other,B2,36,0,131443,0,0
3913,0,0,10,AZ,53000,Individual,3705,60.4,0,0,25.29,2011,7,Truck driver,C,RENT,f,12.99,2019,6500,0,11,0,0,0,0,0,0,debt_consolidation,C2,36,155,40754,0,0
3914,0,0,6,MA,55000,Individual,2249,45.1,0,0,32.93,2004,2,Truck driver,C,RENT,w,16.02,2019,18000,0,19,0,0,0,0,0,0,debt_consolidation,C5,60,0,42730,0,1
3915,0,0,4,WA,60000,Individual,17731,5.3,0,0,19.62,2004,3,Truck driver,A,MORTGAGE,w,6.11,2019,20000,1,7,0,0,0,17435.99,0,0,debt_consolidation,A1,36,0,124117,0,0
3916,0,0,14,NC,170000,Individual,51726,27.9,1,0,21.04,1992,10,Owner,B,OWN,w,10.41,2019,35000,2,14,0,0,0,27242.32,0,0,credit_card,B3,36,1185,672433,0,1
3917,0,0,4,NC,330000,Individual,32312,27.4,0,0,13.96,1995,10,Owner,A,MORTGAGE,w,5.32,2019,34825,3,14,0,0,0,10236.15,0,0,credit_card,A1,36,0,452370,0,1
3918,0,0,5,NC,40000,Individual,1308,9.5,0,0,32.3,1996,10,Owner,A,OWN,w,5.32,2018,14000,0,26,0,0,0,0,0,0,debt_consolidation,A1,36,193,34011,0,1
3919,0,0,2,CT,75000,Individual,22110,20.4,1,0,15.98,2010,10,Owner,A,MORTGAGE,w,7.39,2019,12000,2,10,0,0,0,370.34,0,0,debt_consolidation,A4,36,0,198990,0,1
3920,0,0,5,CT,147600,Individual,43698,74.3,0,0,41.4,1988,5,Owner,E,MORTGAGE,w,20.99,2019,29475,4,13,0,0,0,4253.29,0,0,debt_consolidation,E1,36,0,568077,0,1
3921,0,0,6,MO,415000,Individual,30087,56.6,0,0,4.99,1991,10,Owner,A,MORTGAGE,w,7.91,2019,25000,2,25,0,0,0,10762.11,0,0,debt_consolidation,A5,60,0,752175,0,1
3922,0,0,2,MO,75500,Individual,55537,86.9,2,0,13.77,1998,10,Owner,E,OWN,w,20.75,2018,25000,7,6,0,1,0,0,0,0,small_business,E2,36,0,277687,0,1
3923,0,0,4,MO,150000,Individual,5212,28.8,0,0,5.07,1991,10,Owner,A,OWN,f,7.21,2018,17000,2,7,0,0,0,0,0,0,credit_card,A3,36,0,36483,0,0
3924,0,0,9,OK,55000,Individual,22321,74.7,0,0,24.7,2001,10,Owner,A,MORTGAGE,w,7.89,2018,7800,4,10,0,0,0,0,0,0,debt_consolidation,A5,36,0,200891,0,0
3925,0,0,2,OK,35000,Joint App,13347,45.2,0,0,15.05,1970,4,Owner,B,MORTGAGE,w,11.49,2019,10800,2,7,0,0,0,4018.58,0,0,small_business,B5,36,0,93430,0,0
3926,0,0,3,CO,150000,Individual,46472,70.6,1,0,9.86,1986,10,Owner,B,MORTGAGE,w,8.18,2019,28000,6,13,0,1,0,0,0,0,debt_consolidation,B1,36,0,557664,43.99,1
3927,0,0,11,CO,50400,Individual,1339,13.4,0,0,10.02,1994,6,Owner,B,MORTGAGE,w,9.43,2019,5000,3,13,0,0,0,3749.22,1,1,debt_consolidation,B1,36,0,17413,0,0
3928,0,0,3,CO,90000,Individual,4367,49.4,0,0,13.73,1994,9,Owner,B,MORTGAGE,w,11.53,2019,15600,2,7,0,0,0,0,1,1,debt_consolidation,B5,60,0,30568,0,1
3929,0,0,8,CO,400000,Individual,28993,57,0,0,9.36,1976,3,Owner,C,MORTGAGE,w,13.58,2019,30000,2,20,0,0,0,0,1,1,debt_consolidation,C2,36,0,492878,0,1
3930,0,0,6,CO,50000,Individual,5233,67.7,0,0,24.53,2005,1,Owner,B,MORTGAGE,w,11.47,2016,10000,1,9,0,0,0,0,0,0,debt_consolidation,B5,36,0,47098,0,1
3931,0,0,2,CO,200000,Individual,31789,70.7,0,0,19.34,1994,10,Owner,A,MORTGAGE,f,6.03,2019,25000,6,12,0,0,0,0,0,0,debt_consolidation,A1,36,0,381467,0,1
3932,0,0,4,CO,150000,Joint App,49223,95.8,0,0,28.6,1998,10,Owner,C,MORTGAGE,w,14.99,2019,35000,9,15,0,0,0,11337.55,2,0,debt_consolidation,C4,36,0,738348,0,1
3933,0,0,2,OR,120000,Individual,5323,34.3,0,0,14.72,2008,4,Owner,C,RENT,w,13.99,2019,12000,0,13,0,0,0,5268.61,1,0,small_business,C3,36,0,69203,0,1
3934,0,0,1,OR,60000,Individual,17401,63.4,0,0,17.13,2002,10,Owner,A,MORTGAGE,w,6.24,2019,17500,3,10,0,0,0,0,0,0,debt_consolidation,A2,36,0,156610,0,1
3935,0,0,4,OR,80000,Individual,2176,59.9,0,0,9.82,2010,3,Owner,E,RENT,w,19.99,2016,11200,0,13,0,0,0,0,0,0,credit_card,E3,60,0,28293,0,1
3936,0,0,3,OR,40000,Individual,1757,72.6,1,0,6.9,1997,10,Owner,C,RENT,f,12.69,2018,4000,5,13,0,0,0,0,1,1,debt_consolidation,C2,36,0,17572,15,1
3937,0,0,4,FL,118000,Individual,6717,70.8,0,0,17.95,2002,1,Owner,D,OWN,w,18.25,2019,35000,2,9,0,0,0,5178.7,0,0,small_business,D3,36,0,60451,126.98,1
3938,0,0,4,FL,85000,Individual,27298,41.3,0,0,14.03,1974,1,Owner,C,MORTGAGE,w,12.29,2018,35000,2,8,0,0,0,0,0,0,credit_card,C1,60,0,218381,0,1
3939,0,0,7,FL,60000,Individual,1564,48.5,0,0,9.18,1988,10,Owner,A,MORTGAGE,w,7.49,2018,11000,0,14,0,0,0,0,0,0,debt_consolidation,A4,36,0,15638,0,1
3940,0,0,2,FL,85000,Individual,24881,0,2,0,19.58,2007,4,Owner,B,MORTGAGE,w,9.92,2019,8000,2,6,0,0,0,5801.87,0,0,home_improvement,B2,36,0,149288,0,0
3941,0,0,2,FL,100000,Individual,33764,40.9,0,0,25.72,1995,10,Owner,A,OWN,w,6.19,2019,10000,2,14,0,0,0,7670.79,0,0,house,A2,36,0,472699,0,0
3942,0,0,16,FL,175000,Individual,7397,21.1,0,0,20.3,2006,3,Owner,C,MORTGAGE,w,13.99,2019,30000,0,25,0,0,0,12300.13,0,0,credit_card,C3,36,0,184922,0,1
3943,0,0,4,FL,60000,Individual,2421,23.5,0,0,16.19,2003,3,Owner,A,RENT,w,7.35,2019,15000,0,13,0,0,0,8326.16,0,0,other,A4,36,0,31474,0,1
3944,0,0,9,FL,48000,Individual,1609,20.1,0,0,21.58,2013,1,Owner,C,MORTGAGE,w,15.31,2018,21000,0,14,0,0,0,0,0,0,debt_consolidation,C5,60,0,22520,0,1
3945,0,0,2,FL,68133,Individual,2623,100,0,0,15.13,2012,6,Owner,E,RENT,f,22.9,2018,3500,0,7,0,0,0,0,0,0,moving,E1,36,0,18363,0,0
3946,0,1,2,FL,1250000,Individual,59339,60.2,2,0,3.66,1996,6,Owner,D,MORTGAGE,f,16.99,2019,25000,3,12,1,1,0,0,0,0,small_business,D3,36,0,652725,0,1
3947,0,0,5,FL,36000,Individual,2560,13.7,0,0,29.66,1990,10,Owner,B,MORTGAGE,f,8.18,2018,11200,0,17,0,0,0,0,0,0,credit_card,B1,36,1147,40959,0,0
3948,0,0,4,FL,90064,Individual,31549,86.5,3,0,28.99,1994,4,Owner,D,MORTGAGE,f,18.99,2019,23500,3,15,0,0,0,7172.21,0,0,debt_consolidation,D3,36,90,473231,0,1
3949,0,0,2,IL,150000,Individual,6209,64.2,0,0,12.14,1986,10,Owner,B,MORTGAGE,w,9.44,2019,8000,2,16,0,0,0,5153.82,4,0,other,B1,36,0,99345,0,0
3950,0,0,3,IL,75000,Individual,4426,92.1,0,0,20.88,2005,5,Owner,B,MORTGAGE,w,9.99,2019,29500,0,11,0,0,0,7690.33,0,0,debt_consolidation,B3,60,0,48687,0,1
3951,0,0,9,IL,300000,Individual,8783,76.6,0,0,18.19,1995,10,Owner,A,MORTGAGE,w,5.32,2019,40000,1,17,0,0,0,8284.31,2,0,debt_consolidation,A1,36,0,149308,0,1
